name,lanes,road_capacity_from_conversion,highway,oneway,road_capacity
Alpallana,,1,residential,yes,0.286844438668
Alpallana,,1,residential,yes,0.107884851103
Belo Horizonte,,1,residential,,0.197183635261
Ernesto Noboa Camaño,,1,residential,,0.125781053636
La Coruña,,3,secondary,yes,1.75887760319
,,3,secondary,yes,0.0
Jose Gomez,,1,residential,,0.0659202835051
Alberto Mena,,1,residential,,0.120134888535
E13c,,1,residential,,0.0309848086737
Jacinto Bejarano,,1,residential,yes,0.128371470843
Jose Gonzales,,1,residential,,0.365910147685
,,1,residential,,0.0940324321794
Juan de Dios Martínez,,1,residential,no,0.460347044062
Guanguiltagua,,1,residential,no,0.561839707241
Calle Eduardo Salasar,,1,residential,,0.0784275849176
Federico Páez,,1,residential,no,0.286164743453
,,1,residential,yes,0.275607266869
Game,,1,residential,,0.085864378347
Portugal,,3,secondary,,0.148844335493
Francisco Casanova,,1,residential,,0.117299679096
Catalina Arias,,1,unclassified,yes,0.304210297017
El Batán,,1,residential,no,0.253677668958
Checoslovaquia,,1,residential,yes,0.132042165166
Gaspar Cañero,,1,residential,,0.130500789663
Quiteño Libre,,1,residential,-1,0.173875354397
Borrero,,1,residential,yes,0.267860676934
Abel Gilbert,,1,residential,,0.144270147521
Antonio Flores Jijon,,1,unclassified,,0.209841500651
,,3,primary,yes,0.286913538149
Moreno Bellido,,1,residential,yes,0.0918700635557
Potosi,,1,residential,,0.0671827447988
E6A,,1,unclassified,no,0.142971526122
La Pradera,,1,residential,yes,0.180567361569
Martín Carrion,,1,residential,yes,0.0680730336591
Fco. Flor,,1,residential,yes,0.0911706864525
Antonio Navarro,,1,residential,yes,0.404450441952
Avenida 6 de Diciembre,,3,primary,yes,0.162513695618
Whymper,,1,residential,yes,0.224404511233
Pje. Donoso,,1,residential,,0.0377866857375
Alberto Larrea,,1,residential,,0.0524400553378
Los Shyris,,3,primary,yes,0.249319408442
Bélgica,,1,residential,yes,0.118788825128
Avenida Eloy Alfaro,,3,primary,,0.0408417019262
Juan Boniche,,1,residential,,0.0449179249805
Noruega,,1,residential,yes,0.203132971009
Checoslovaquia,,1,residential,,0.108673328115
Moscú,,1,residential,,0.10322784356
Bulgaria,,1,residential,,0.118270548276
Guillermo Bodero,,1,residential,,0.0828195667608
Pedro Ponce Carrasco,,1,residential,yes,0.119930614599
Pje. Mauricio Plaza,,1,residential,,0.0435295292099
Isla Pareja,,1,unclassified,,0.0614163700986
,,1,service,,0.366070794723
República de El Salvador,,3,secondary,yes,0.200037993768
Avenida 6 De Diciembre,,3,primary,yes,0.136019603033
Interoceana,,3,primary,yes,0.222128202971
Avenida 6 De Diciembre,,3,primary,yes,0.332266984752
Gonzalez Suárez,,3,secondary_link,yes,0.1273995978
