name,lanes,road_capacity_from_conversion,highway,oneway
Lim Chu Kang Road,,3,primary,
Sembawang Road,,3,primary,yes
Woodlands Avenue 1,,3,secondary,
Marsiling Lane,,1,residential,
Marsiling Drive,,1,residential,
Woodland Centre Road,,3,primary,yes
,,1,residential,yes
Woodlands Avenue 3,,3,primary,yes
Woodlands Avenue 3,,2,tertiary,yes
Kranji Road,,3,primary,yes
,,3,primary_link,yes
Kranji Way,,3,primary,
Bukit Batok Street 24,,1,residential,
Hillview Road,,2,tertiary,
Kranji Loop,,3,primary,
Hume Avenue,,1,residential,
Kranji Way,,3,primary,
Sungei Kadut Drive,,3,secondary,
Sungei Kadut Street 6,,1,residential,
Sungei Kadut Street 1,,2,tertiary,
Lim Chu Kang Lane 8,,1,residential,
Lim Chu Kang Lane 6C,,1,residential,
Lim Chu Kang Lane 9A,,1,residential,
Lim Chu Kang Lane 6,,1,residential,
Lim Chu Kang Lane 1,,1,residential,
Lim Chu Kang Lane 3,,1,residential,
Lim Chu Kang lane 2,,1,residential,
Lim Chu Kang Lane 6D,,1,residential,
Lim Chu Kang Lane 6F,,1,residential,
Mandai Lake Road,,1,unclassified,
,,3,primary_link,
Mandai Road,,3,primary_link,yes
Mandai Road,,3,primary_link,yes
Lorong Lada Hitam,,1,residential,
Old Choa Chu Kang Road,,3,secondary,yes
Choa Chu Kang Road,,3,primary_link,
Choa Chu Kang Road,,3,primary_link,
Choa Chu Kang Way,,3,primary_link,
Choa Chu Kang Way,,3,primary_link,
Woodlands Street 13,,2,tertiary,
Woodlands Street 12,,1,residential,
Marsiling Road,,2,tertiary,
,,2,tertiary,
Woodlands Street 31,,2,tertiary,
Woodlands Street 41,,2,tertiary,
Woodlands Avenue 2,,3,primary,yes
Admiralty Road,,3,primary,yes
Admiralty Road,,3,primary,yes
Neo Tiew Lane 2,,1,residential,
Clementi Road,,3,primary,yes
Clementi Road,,3,primary,yes
Bukit Batok West Avenue 3,,3,primary,yes
Jalan Boon Lay,,3,primary,yes
Bukit Batok West Avenue 2,,3,secondary,
,,3,primary_link,
Brickland Road,,3,primary,yes
Jalan Bahar,,3,primary,yes
Jalan Bahar,,3,primary,yes
Lower Delta Road,,3,primary,yes
Lower Delta Road,,3,primary,yes
,,1,service,yes
Lower Delta Road,,3,primary,yes
Lower Delta Flyover,,3,primary,yes
Lower Delta Road,,3,primary,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
Lower Delta Road,,3,primary,yes
Lower Delta Road,,3,primary,yes
Lower Delta Road,,3,primary,yes
Lower Delta Road,,3,primary,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
Toh Guan Road,,4,motorway_link,yes
,,3,primary_link,yes
Lim Chu Kang Lane 1A,,1,residential,
Neo Tiew Road,,3,primary,
Kranji Way,,3,primary,
